====================================================================================================
PRODUCTOS DESCOMPUESTOS
----------------------------------------------------------------------------------------------------
Producto     Cantidad     Precio Unitario (S/.)    Sub-total (S/.)
110) 42326    360.86              2.23                  804.72
111) 35540    599.34              1.27                  761.16
112) 50589    196.55              3.85                  756.72
113) 48694    366.65              2.00                  735.13
114) 25629    315.84              2.13                  672.74
115) 21087     28.98             20.03                  580.47
116) 39576    251.71              2.23                  561.31
117) 50364    146.76              3.64                  534.21
118) 42415    352.70              1.51                  532.58
119) 44171     27.27             19.52                  532.31
120) 21744     26.96             19.52                  526.26
121) 39053    203.12              2.39                  485.46
122) 31179     59.28              7.98                  473.05
123) 38483    508.26              0.87                  442.19
124) 51196    225.46              1.83                  412.59
125) 34006     35.65             11.14                  397.14
126) 25130    161.65              2.45                  396.04
127) 22809    430.78              0.88                  379.09
128) 45395     32.25             11.59                  373.78
129) 32803    249.50              1.47                  366.76
130) 25416    619.50              0.56                  346.92
131) 31631    408.54              0.72                  294.15
132) 54016    265.07              1.05                  278.32
133) 28784    455.00              0.59                  268.45
134) 46240    217.20              0.87                  188.96
135) 18592    268.38              0.65                  174.45
136) 51871     35.13              4.95                  173.89
137) 53292    169.68              0.96                  163.23
138) 50407    240.61              0.58                  139.55
139) 37019      6.34             19.38                  122.87
----------------------------------------------------------------------------------------------------
Costo total de productos descompuestos: S/. 559772.18
====================================================================================================

====================================================================================================
PLATOS QUE NO SE PODRÁN PREPARAR
----------------------------------------------------------------------------------------------------
Plato     Cantidad     Precio Ingrediente (S/.)   Sub-total (S/.)
 1) 360258    91               98.82                8992.63
 2) 331934    93              138.16               12849.34
 3) 878367   154              121.58               18723.06
 4) 915960   231              136.62               31560.26
 5) 771276   246              145.03               35677.73
 6) 913685   249               64.68               16106.04
 7) 232542   276               54.99               15177.18
 8) 780367   281               90.04               25300.90
 9) 416692   290              130.97               37982.04
10) 220861   313               61.53               19258.04
11) 691386   315               28.88                9096.60
12) 359171   343              178.44               61205.33
13) 958942   393              108.52               42647.30
14) 351499   399              139.30               55580.52
15) 751919   404              167.64               67728.30
16) 492640   430              150.68               64790.55
17) 385260   496              132.21               65575.86
18) 527312   500              218.22              109111.25
19) 997410   512              119.93               61406.23
20) 612129   517               80.45               41594.61
21) 349482   520              184.41               95893.41
22) 591454   561              131.55               73798.88
23) 952652   619               38.98               24130.85
24) 226840   623              134.95               84070.80
25) 531731   632              151.87               95981.21
26) 376224   633              188.32              119206.65
27) 282726   636               83.18               52899.49
28) 550341   651              104.02               67718.13
29) 547941   681              158.66              108047.80
30) 480509   693              246.12              170562.96
31) 602128   703              105.05               73848.25
32) 230581   792              137.94              109245.71
33) 131288   845              203.50              171959.11
34) 249106   864              263.01              227241.76
35) 147664   873               76.33               66638.17
36) 392931   878              200.04              175632.66
37) 694094   886               98.17               86974.90
38) 254154   892              145.47              129761.74
39) 973757   961              121.31              116579.01
40) 724281   979              104.87              102667.04
41) 610548   989               76.57               75723.28
42) 134848  1062               72.29               76777.08
43) 246666  1064               53.51               56936.93
44) 137405  1071              149.08              159665.97
45) 120767  1148              176.34              202436.71
----------------------------------------------------------------------------------------------------
Suma de precios de los ingredientes de los platos queno se podrán preparar: S/. 3524762.28
====================================================================================================
